target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
True;False;False;False;False;False;False;False;False;False;False;False;True
True;True;True;True;False;True;True;False;True;True;False;False;False
True;False;False;False;False;False;False;False;False;False;False;False;True
True;False;False;False;False;False;False;False;False;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;True;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;False;False;False;False;True
True;True;True;False;False;True;False;False;False;False;False;False;True
True;True;True;True;False;False;True;False;False;True;False;False;True
True;False;True;True;False;True;True;False;True;True;False;False;False
True;False;False;False;False;False;False;False;False;False;False;False;True
True;False;False;False;False;False;False;False;False;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;False
True;True;True;False;False;True;False;False;True;False;False;False;False
True;True;True;False;False;True;False;False;True;False;False;False;False
True;True;True;False;False;True;False;False;True;False;False;False;False
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;False;True;False;False;True;False;False;True;False;False;False;True
True;False;True;False;False;True;False;False;True;False;False;False;True
True;False;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;True;False;True;True;False;True;True;False;False;False
True;False;False;False;False;False;False;False;False;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;False
True;True;True;False;False;True;False;False;True;False;False;False;False
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;False
True;True;True;False;False;True;False;False;True;False;False;False;False
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;False;False;False;False;False;False;False;False;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;False
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
True;True;True;False;False;True;False;False;False;False;False;False;True
True;False;False;False;False;False;False;False;False;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;False
True;False;False;False;False;False;False;False;False;False;False;False;True
True;False;False;False;False;False;False;False;False;False;False;False;True
True;True;True;False;False;True;False;False;False;False;False;False;True
True;True;True;False;False;True;False;False;True;False;False;False;True
